"","day","hour","count"
"1","Fri",0,468
"2","Fri",1,478
"3","Fri",2,257
"4","Fri",3,286
"5","Fri",4,244
"6","Fri",5,395
"7","Fri",6,1012
"8","Fri",7,3856
"9","Fri",8,11241
"10","Fri",9,14527
"11","Fri",10,15922
"12","Fri",11,15288
"13","Fri",12,13921
"14","Fri",13,14145
"15","Fri",14,14488
"16","Fri",15,13090
"17","Fri",16,9070
"18","Fri",17,3837
"19","Fri",18,2189
"20","Fri",19,1797
"21","Fri",20,1045
"22","Fri",21,836
"23","Fri",22,773
"24","Fri",23,689
"25","Mon",0,506
"26","Mon",1,397
"27","Mon",2,328
"28","Mon",3,316
"29","Mon",4,277
"30","Mon",5,527
"31","Mon",6,1368
"32","Mon",7,5925
"33","Mon",8,18098
"34","Mon",9,24592
"35","Mon",10,26629
"36","Mon",11,25001
"37","Mon",12,22872
"38","Mon",13,20569
"39","Mon",14,20287
"40","Mon",15,20929
"41","Mon",16,15323
"42","Mon",17,7138
"43","Mon",18,4008
"44","Mon",19,3476
"45","Mon",20,2168
"46","Mon",21,1515
"47","Mon",22,1699
"48","Mon",23,1138
"49","Sat",0,370
"50","Sat",1,245
"51","Sat",2,328
"52","Sat",3,238
"53","Sat",4,174
"54","Sat",5,125
"55","Sat",6,486
"56","Sat",7,1592
"57","Sat",8,4538
"58","Sat",9,6855
"59","Sat",10,7523
"60","Sat",11,7225
"61","Sat",12,6002
"62","Sat",13,6216
"63","Sat",14,5697
"64","Sat",15,4901
"65","Sat",16,3550
"66","Sat",17,2057
"67","Sat",18,1666
"68","Sat",19,1400
"69","Sat",20,1062
"70","Sat",21,905
"71","Sat",22,711
"72","Sat",23,515
"73","Sun",0,291
"74","Sun",1,191
"75","Sun",2,148
"76","Sun",3,123
"77","Sun",4,54
"78","Sun",5,72
"79","Sun",6,333
"80","Sun",7,1070
"81","Sun",8,2758
"82","Sun",9,4034
"83","Sun",10,4466
"84","Sun",11,4632
"85","Sun",12,4454
"86","Sun",13,4528
"87","Sun",14,4361
"88","Sun",15,4332
"89","Sun",16,4094
"90","Sun",17,2635
"91","Sun",18,2343
"92","Sun",19,2050
"93","Sun",20,1672
"94","Sun",21,1296
"95","Sun",22,1096
"96","Sun",23,820
"97","Thurs",0,566
"98","Thurs",1,491
"99","Thurs",2,524
"100","Thurs",3,342
"101","Thurs",4,274
"102","Thurs",5,455
"103","Thurs",6,1198
"104","Thurs",7,4859
"105","Thurs",8,14942
"106","Thurs",9,19259
"107","Thurs",10,19776
"108","Thurs",11,18180
"109","Thurs",12,17464
"110","Thurs",13,16338
"111","Thurs",14,15530
"112","Thurs",15,15006
"113","Thurs",16,11964
"114","Thurs",17,5624
"115","Thurs",18,3529
"116","Thurs",19,2814
"117","Thurs",20,2083
"118","Thurs",21,1348
"119","Thurs",22,1456
"120","Thurs",23,1062
"121","Tues",0,685
"122","Tues",1,452
"123","Tues",2,447
"124","Tues",3,398
"125","Tues",4,347
"126","Tues",5,589
"127","Tues",6,1287
"128","Tues",7,5864
"129","Tues",8,18252
"130","Tues",9,24458
"131","Tues",10,24879
"132","Tues",11,24066
"133","Tues",12,22384
"134","Tues",13,20293
"135","Tues",14,20348
"136","Tues",15,19674
"137","Tues",16,15237
"138","Tues",17,7398
"139","Tues",18,3957
"140","Tues",19,3406
"141","Tues",20,2202
"142","Tues",21,1703
"143","Tues",22,2002
"144","Tues",23,1257
"145","Wed",0,816
"146","Wed",1,484
"147","Wed",2,490
"148","Wed",3,448
"149","Wed",4,343
"150","Wed",5,491
"151","Wed",6,1303
"152","Wed",7,5570
"153","Wed",8,17393
"154","Wed",9,22167
"155","Wed",10,23790
"156","Wed",11,22367
"157","Wed",12,20776
"158","Wed",13,18887
"159","Wed",14,19229
"160","Wed",15,19249
"161","Wed",16,14503
"162","Wed",17,6580
"163","Wed",18,3883
"164","Wed",19,2975
"165","Wed",20,2088
"166","Wed",21,1572
"167","Wed",22,1866
"168","Wed",23,1329
